id,name,lat,lon,state
HS-W3,Port Hedland,-20.27003887,118.5974917,WA
HS-W1,Geraldton,-28.76523642,114.6148051,WA
HS-W2,Ashburton,-21.89202527,116.1473706,WA
HS-NT3,Tennant Creek,-19.6482,134.19,NT
HS-NT1,Baines,-15.8327,129.5673,NT
HS-NT2,McArthur,-16.23746127,135.7063594,NT
HS-N1,North West NSW,-31.49545136,145.5819446,NSW
HS-N2,New England,-30.39023456,151.6804617,NSW
HS-N3,Central West NSW,-33.26264602,147.7519007,NSW
HS-N4,Southern Tablelands,-34.6873,149.8948,NSW
HS-N5,Broken Hill,-32.0372486,141.573066,NSW
HS-N6,South West NSW,-32.48952541,143.2607117,NSW
HS-N7,Wagga Wagga,-35.10367359,147.3581977,NSW
HS-N8,Tumut,-35.31749852,148.2418881,NSW
HS-N9,Cooma Monaro,-36.23020894,149.1402502,NSW
HS-Q1,Far North QLD,-16.671,145.040,QLD
HS-Q2,Clean Energy Hub North QLD,-18.40302275,144.121319,QLD
HS-Q3,Northern QLD,-18.1946,144.9611,QLD
HS-Q4,Isaac,-22.06668487,148.1336197,QLD
HS-Q5,Barcaldine,-23.53276154,145.333398,QLD
HS-Q6,Fitzroy,-23.23947967,150.3604967,QLD
HS-Q7,Wide Bay,-16.94127871,145.8571631,QLD
HS-Q8,Darling Downs,-27.1171,150.8946,QLD
HS-S1,South East SA,-29.61715678,130.3263726,SA
HS-S2,Riverland,-34.43770405,140.2138667,SA
HS-S3,Mid North SA,-33.37914457,138.4829985,SA
HS-S4,Yorke Peninsula,-34.69578933,137.7195063,SA
HS-S5,Northern SA,-33.158982,138.468781,SA
HS-S6,Leigh Creek,-30.5932,138.4031,SA
HS-S7,Roxby Downs,-30.51797509,136.8936428,SA
HS-S8,Eastern Eyre Peninsula,-33.56124582,136.5495743,SA
HS-S9,Western Eyre Peninsula,-33.51999784,135.2476231,SA
HS-T1,North East Tasmania,-41.18322083,147.4764,TAS
HS-T2,North West Tasmania,-41.0842,145.3905,TAS
HS-T3,Midlands ,-42.30073622,147.098296,TAS
HS-V1,Ovens Murray,-36.11247271,146.7183705,TAS
HS-V2,Murray River,-35.20670154,143.7467687,VIC
HS-V3,Western VIC,-36.71471668,142.161313,VIC
HS-V4,South West VIC,-37.52258583,141.9682809,VIC
HS-V5,Gippsland,-37.8744,146.9115,VIC
HS-V6,Central North VIC,-35.98894621,144.1757373,VIC
